File,Date-Obs,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise,Star_4_x,Star_4_y,Star_4_flux,Star_4_noise,Star_5_x,Star_5_y,Star_5_flux,Star_5_noise
WASP36B.2025-02-17.0190_reduced.fits,2025-02-18T04:14:38.754,543,406,233956.60889949097,543.4448620672275,642,566,33198.358621185725,288.8162875826141,683,441,42089.34640428782,306.4310852724351,328,384,36420.228875516776,298.3755680766103,871,274,30871.479049108493,273.3336264354932
WASP36B.2025-02-17.0168_reduced.fits,2025-02-18T03:18:23.987,543,406,250300.7410865411,558.9933250289189,642,566,36715.523590756995,292.12640872991517,683,441,45827.50592606923,308.62097813550884,328,384,39271.025143018676,295.1207432511829,871,274,33919.977301660554,275.9811503124675
WASP36B.2025-02-17.0169_reduced.fits,2025-02-18T03:20:57.266,543,406,232959.76203991653,538.8413825838276,642,566,34794.616032521735,292.9303543795142,683,441,42940.37947929857,302.5932824204447,328,384,37657.911076383534,299.1129798142136,871,274,34148.62470063608,290.4567335292016
WASP36B.2025-02-17.0196_reduced.fits,2025-02-18T04:29:55.897,543,406,240583.67857359888,550.2331096125936,642,566,34690.319981821325,290.0167619312206,683,441,46226.05058740411,324.36167837381083,328,384,37291.68128831291,299.83233987986694,871,274,34770.755152752085,295.59855531154955
WASP36B.2025-02-17.0191_reduced.fits,2025-02-18T04:17:11.620,543,406,224908.0034394729,531.317491698144,642,566,31824.694992655783,277.9544235105139,683,441,40297.62951548487,299.5280149413972,328,384,36128.47967310685,296.5453477801691,871,274,31954.71513802505,282.45343526347307
WASP36B.2025-02-17.0184_reduced.fits,2025-02-18T03:59:18.728,543,406,239140.74379099638,548.1938097049011,642,566,34049.16084244824,291.6551685241225,683,441,43188.10250891161,308.2186985337947,328,384,34572.466038443185,281.4415489267372,871,274,33507.10291758772,292.09205147443214
WASP36B.2025-02-17.0183_reduced.fits,2025-02-18T03:56:45.058,543,406,252606.92215216468,560.3415309968927,642,566,38832.22678770248,312.7565740280672,683,441,48025.38954112997,325.90297669495567,328,384,38514.33946822422,296.5362400912799,871,274,35647.547220317494,294.3826144742647
WASP36B.2025-02-17.0189_reduced.fits,2025-02-18T04:12:03.840,543,406,237135.639340575,548.5459050490283,642,566,33362.41543130993,289.1001639278806,683,441,43155.28797176323,313.29586674418795,328,384,35447.948848117245,291.320014876023,871,274,32159.218258417237,285.6197130410754
WASP36B.2025-02-17.0176_reduced.fits,2025-02-18T03:38:49.623,543,406,230172.46790507558,539.2133992959411,642,566,33547.194075424704,292.1606710226058,683,441,41876.86960020116,307.38350695787875,328,384,37262.79733309469,305.0555631567665,871,274,31915.019749121104,285.1919037566987
WASP36B.2025-02-17.0171_reduced.fits,2025-02-18T03:26:05.633,543,406,252567.17795225422,561.7268565995116,642,566,36690.11969267368,293.44423986836523,683,441,46166.24457979734,315.5488590723931,328,384,40099.46493171296,304.47859642548946,871,274,36771.154246506994,293.58228227492884
WASP36B.2025-02-17.0131_reduced.fits,2025-02-18T01:41:56.670,543,406,245665.71271296273,553.3934719421355,642,566,34413.84802837099,286.7735622097737,683,441,43915.45100680263,308.1055460247165,328,384,39348.06345337556,307.1596907157648,871,274,33418.66174877178,282.2228116891805
WASP36B.2025-02-17.0164_reduced.fits,2025-02-18T03:08:09.781,543,406,257490.886564337,569.6017957311,642,566,38124.19431472259,303.8521339885287,683,441,47718.34835869947,320.4954921772352,328,384,38978.31909832561,294.62441693185843,871,274,36879.774136284075,299.1446554525205
WASP36B.2025-02-17.0163_reduced.fits,2025-02-18T03:05:37.512,543,406,247357.3949564443,555.6375654725131,642,566,37298.124159612285,297.17284641097064,683,441,46249.3467860842,314.4154855213199,328,384,39413.210754288586,299.38219737670795,871,274,36649.690852946915,300.09086746357104
WASP36B.2025-02-17.0155_reduced.fits,2025-02-18T02:44:12.368,543,406,236915.80303741447,545.4304952169643,642,566,36335.11050071548,299.5662670976276,683,441,42913.36138888746,307.7726839825816,328,384,37344.192258168565,295.9065420195811,871,274,33197.21890692739,288.81431449764557
WASP36B.2025-02-17.0152_reduced.fits,2025-02-18T02:36:32.962,543,406,241836.17906150452,546.2868893483261,642,566,36502.321741224536,291.7612668396972,683,441,46087.66218093254,312.88708154522317,328,384,37921.06550239521,290.0898467567765,871,274,35191.64771674709,286.7399318865276
WASP36B.2025-02-17.0147_reduced.fits,2025-02-18T02:23:41.054,543,406,258297.21123554464,566.8042825424475,642,566,38695.47270826981,302.16423259180254,683,441,47632.840127906646,317.86424462339,328,384,40464.31694371484,299.806135966167,871,274,35694.59952104097,284.8307674347125
WASP36B.2025-02-17.0140_reduced.fits,2025-02-18T02:04:59.815,543,406,155973.9546191617,445.21856727375365,642,566,20085.819469546666,231.43785134982787,683,441,28586.03401673905,264.64044458529526,328,384,18947.68381404603,216.43875220011932,871,274,17879.24023096752,219.473349791203
WASP36B.2025-02-17.0162_reduced.fits,2025-02-18T03:03:04.056,543,406,264031.0525483493,571.8399566498159,642,566,39765.314396868605,301.2953548949181,683,441,49462.090418529944,320.72874567244764,328,384,42933.683286716485,310.38447314388674,871,274,38827.51655158059,298.4024227505503
WASP36B.2025-02-17.0165_reduced.fits,2025-02-18T03:10:42.837,543,406,258886.8879790769,565.2128006815533,642,566,38025.796833550805,293.0034552486757,683,441,48612.1855907772,318.1508075430586,328,384,41036.61197513934,299.4310055118204,871,274,38141.3073234771,295.906589218162
WASP36B.2025-02-17.0130_reduced.fits,2025-02-18T01:39:22.989,543,406,269123.9012149971,579.7233998647578,642,566,38910.5508570962,303.83447588973155,683,441,48733.30815874064,320.8352118664671,328,384,42824.57858257015,315.30582772117606,871,274,37062.355808759356,295.42993274307344
WASP36B.2025-02-17.0170_reduced.fits,2025-02-18T03:23:32.377,543,406,216168.66565484845,525.3096235530893,642,566,29516.09586867971,269.36740899258854,683,441,39651.82812865654,303.7426194628927,328,384,34194.12784621308,290.53505330343637,871,274,28546.785259059045,269.04753771467284
WASP36B.2025-02-17.0177_reduced.fits,2025-02-18T03:41:23.430,543,406,238301.97669443392,548.1557926673579,642,566,34085.50910153924,288.9721635742589,683,441,43352.52923613165,311.05846254076306,328,384,37736.80947997108,301.8967495056261,871,274,32724.54193636538,286.6076484597269
WASP36B.2025-02-17.0188_reduced.fits,2025-02-18T04:09:30.453,543,406,229046.62513402765,538.908465643104,642,566,33657.16263502091,297.7518678064835,683,441,40414.35576858625,303.6857246983151,328,384,36387.36706532214,300.98055099953274,871,274,31716.353313855878,284.84338772930096
WASP36B.2025-02-17.0141_reduced.fits,2025-02-18T02:07:33.394,543,406,83713.39222589185,321.93255588726214,642,566,11214.154691282838,167.19146053319236,683,441,15151.475560154095,185.1528199671797,328,384,2114.062963081426,72.81765921365198,871,274,9472.812505837677,154.33852692076354
WASP36B.2025-02-17.0146_reduced.fits,2025-02-18T02:21:08.186,543,406,249355.83061421345,558.1474956985464,642,566,37018.67936984785,298.04251875664056,683,441,45031.16827502773,311.19420285728705,328,384,39687.97793844755,302.487423797093,871,274,35420.112105903965,295.3485664818073
WASP36B.2025-02-17.0153_reduced.fits,2025-02-18T02:39:07.041,543,406,252224.60726455625,562.839821798891,642,566,37332.79573071717,298.5690194036745,683,441,46927.763954644994,320.50563682163573,328,384,40311.10658171587,307.4297181411974,871,274,35708.02241490382,297.179698439222
WASP36B.2025-02-17.0154_reduced.fits,2025-02-18T02:41:39.498,543,406,242761.9955402145,552.9302659586727,642,566,35324.628341569194,292.47413166532647,683,441,43699.79240517263,307.75537182892305,328,384,38927.84744548075,303.8629383909337,871,274,33941.7445792214,290.1003859546535
